game_id,date,away_team,home_team,away_clean,home_clean,conference_family,away_tz,home_tz,tz_delta,tz_abs,travel_direction,away_role_basis,away_role,spread_badge,spread_side,spread_title,total_badge,total_side,total_title
g22,2026-09-04,Miami-FL,Stanford,Miami-FL,Stanford,ACC,-5,-8,-3,3,Westbound,market,Favorite,1H Travel: road fav start,Miami-FL,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g164,2026-09-12,California,Syracuse,Cal,Syracuse,ACC,-8,-5,3,3,Eastbound,projection,Favorite,1H Travel: road fav start,Cal,"2024-25 Big Ten/ACC 3+ TZ western expansion teams traveling east as 1H favorites went 10-2 ATS, 83.3%, +3.71 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g204,2026-09-19,Stanford,Duke,Stanford,Duke,ACC,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Duke,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g237,2026-09-19,USC,Rutgers,USC,Rutgers,Big Ten,-8,-5,3,3,Eastbound,projection,Favorite,1H Travel: road fav start,USC,"2024-25 Big Ten/ACC 3+ TZ western expansion teams traveling east as 1H favorites went 10-2 ATS, 83.3%, +3.71 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g253,2026-09-19,Purdue,UCLA,Purdue,UCLA,Big Ten,-5,-8,-3,3,Westbound,projection,Underdog,1H Travel: fade road dog,UCLA,"2024-25 Big Ten/ACC 3+ TZ: non-west teams traveling west as 1H dogs went 2-13 ATS, 13.3%, -3.90 ATS margin. Supports home 1H side only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g262,2026-09-25,Clemson,California,Clemson,Cal,ACC,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,Clemson,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g294,2026-09-26,UCLA,Maryland,UCLA,Maryland,Big Ten,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Maryland,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g313,2026-09-26,Georgia Tech,Stanford,Georgia Tech,Stanford,ACC,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,Georgia Tech,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g388,2026-10-03,Stanford,Wake Forest,Stanford,Wake Forest,ACC,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Wake Forest,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g407,2026-10-10,Virginia Tech,California,Virginia Tech,Cal,ACC,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,Virginia Tech,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g434,2026-10-10,USC,Penn State,USC,Penn State,Big Ten,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Penn State,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g464,2026-10-17,Wake Forest,California,Wake Forest,Cal,ACC,-5,-8,-3,3,Westbound,projection,Underdog,1H Travel: fade road dog,Cal,"2024-25 Big Ten/ACC 3+ TZ: non-west teams traveling west as 1H dogs went 2-13 ATS, 13.3%, -3.90 ATS margin. Supports home 1H side only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g488,2026-10-17,Washington,Purdue,Washington,Purdue,Big Ten,-8,-5,3,3,Eastbound,projection,Favorite,1H Travel: road fav start,Washington,"2024-25 Big Ten/ACC 3+ TZ western expansion teams traveling east as 1H favorites went 10-2 ATS, 83.3%, +3.71 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g554,2026-10-24,NC State,Stanford,NC State,Stanford,ACC,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,NC State,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g561,2026-10-24,Michigan State,UCLA,Michigan State,UCLA,Big Ten,-5,-8,-3,3,Westbound,projection,Underdog,1H Travel: fade road dog,UCLA,"2024-25 Big Ten/ACC 3+ TZ: non-west teams traveling west as 1H dogs went 2-13 ATS, 13.3%, -3.90 ATS margin. Supports home 1H side only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g593,2026-10-31,Stanford,Louisville,Stanford,Louisville,ACC,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Louisville,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g596,2026-10-31,California,NC State,Cal,NC State,ACC,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,NC State,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g619,2026-10-31,Ohio State,USC,Ohio State,USC,Big Ten,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,Ohio State,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g666,2026-11-07,Oregon,Ohio State,Oregon,Ohio State,Big Ten,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Ohio State,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g684,2026-11-07,Penn State,Washington,Penn State,Washington,Big Ten,-5,-8,-3,3,Westbound,projection,Underdog,1H Travel: fade road dog,Washington,"2024-25 Big Ten/ACC 3+ TZ: non-west teams traveling west as 1H dogs went 2-13 ATS, 13.3%, -3.90 ATS margin. Supports home 1H side only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g710,2026-11-14,USC,Indiana,USC,Indiana,Big Ten,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Indiana,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g720,2026-11-14,Washington,Michigan State,Washington,Michigan State,Big Ten,-8,-5,3,3,Eastbound,projection,Favorite,1H Travel: road fav start,Washington,"2024-25 Big Ten/ACC 3+ TZ western expansion teams traveling east as 1H favorites went 10-2 ATS, 83.3%, +3.71 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g731,2026-11-14,Michigan,Oregon,Michigan,Oregon,Big Ten,-5,-8,-3,3,Westbound,projection,Underdog,1H Travel: fade road dog,Oregon,"2024-25 Big Ten/ACC 3+ TZ: non-west teams traveling west as 1H dogs went 2-13 ATS, 13.3%, -3.90 ATS margin. Supports home 1H side only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g748,2026-11-14,California,Virginia,Cal,Virginia,ACC,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Virginia,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g749,2026-11-14,Stanford,Virginia Tech,Stanford,Virginia Tech,ACC,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Virginia Tech,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g790,2026-11-21,UCLA,Michigan,UCLA,Michigan,Big Ten,-8,-5,3,3,Eastbound,projection,Underdog,1H Travel: road dog fade,Michigan,"2024-25 Big Ten/ACC 3+ TZ traveler underdogs went 9-22 1H ATS, 29.0%, -3.89 ATS margin. Supports opponent 1H side only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g791,2026-11-21,Oregon,Michigan State,Oregon,Michigan State,Big Ten,-8,-5,3,3,Eastbound,projection,Favorite,1H Travel: road fav start,Oregon,"2024-25 Big Ten/ACC 3+ TZ western expansion teams traveling east as 1H favorites went 10-2 ATS, 83.3%, +3.71 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 32-23,Over,"2024-25 Big Ten/ACC 3+ TZ travel games: 1H totals went 32 O / 23 U, 58.2% over. Context only; direction split is stronger westbound."
g818,2026-11-21,Maryland,USC,Maryland,USC,Big Ten,-5,-8,-3,3,Westbound,projection,Underdog,1H Travel: fade road dog,USC,"2024-25 Big Ten/ACC 3+ TZ: non-west teams traveling west as 1H dogs went 2-13 ATS, 13.3%, -3.90 ATS margin. Supports home 1H side only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g820,2026-11-21,Indiana,Washington,Indiana,Washington,Big Ten,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,Indiana,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
g841,2026-11-28,Pittsburgh,California,Pittsburgh,Cal,ACC,-5,-8,-3,3,Westbound,projection,Favorite,1H Travel: road fav start,Pittsburgh,"2024-25 Big Ten/ACC 3+ TZ traveler favorites went 17-7 1H ATS, 70.8%, +3.73 ATS margin. Supports traveler 1H favorite only.",1H Travel O: 17-10,Over,"2024-25 Big Ten/ACC non-west teams traveling 3+ TZ west: 1H totals went 17 O / 10 U, 63.0% over, +2.46 avg 1H total margin."
