team,sp,off_sp,def_sp,st_sp
1. Ohio State,31.8,40.6 (2),8.8 (1),0.1 (67)
2. Oregon,28.3,40.7 (1),12.6 (3),0.3 (50)
3. Notre Dame,25.8,40.2 (3),14.6 (9),0.3 (47)
4. Georgia,25.5,38.2 (5),13.3 (5),0.6 (3)
5. Indiana,24.5,37.4 (9),13.5 (6),0.5 (22)
6. Texas,23.7,37.6 (7),14.3 (8),0.4 (31)
7. Texas Tech,23.1,37.6 (8),14.7 (11),0.2 (54)
8. Miami,21.0,34.4 (12),13.7 (7),0.3 (42)
9. Texas A&M,20.3,37.3 (10),16.7 (14),-0.3 (99)
10. LSU,20.2,32.5 (21),12.5 (2),0.2 (53)
11. Alabama,18.2,31.3 (32),12.6 (4),-0.4 (109)
12. Oklahoma,17.2,31.6 (27),14.7 (10),0.4 (33)
13. USC,16.8,37.7 (6),20.5 (29),-0.3 (100)
14. Michigan,16.1,32.8 (20),16.2 (13),-0.5 (113)
15. Tennessee,16.0,38.7 (4),23.0 (50),0.4 (34)
16. Ole Miss,15.9,35.0 (11),19.7 (25),0.7 (1)
17. Penn St.,15.7,33.6 (14),18.6 (23),0.6 (6)
18. BYU,15.5,33.3 (16),18.1 (20),0.3 (45)
19. Florida,14.9,30.2 (39),15.9 (12),0.5 (17)
20. Missouri,14.8,32.2 (24),16.9 (15),-0.5 (118)
21. Washington,14.5,32.4 (22),17.6 (19),-0.3 (96)
22. Iowa,13.6,30.3 (38),17.3 (17),0.6 (10)
23. Clemson,12.8,29.5 (48),17.0 (16),0.3 (41)
24. S. Carolina,12.1,29.9 (44),18.4 (21),0.5 (19)
25. Utah,11.9,33.0 (18),21.1 (34),0.0 (74)
26. Auburn,11.2,28.4 (55),17.5 (18),0.3 (51)
27. Louisville,11.0,30.6 (36),19.7 (26),0.2 (55)
28. SMU,10.9,31.9 (25),20.7 (32),-0.4 (104)
29. Kansas St.,10.4,33.1 (17),23.0 (49),0.3 (49)
30. Arizona,10.2,31.5 (29),20.8 (33),-0.5 (119)
31. Vanderbilt,10.0,33.4 (15),24.1 (56),0.6 (7)
32. Va. Tech,9.4,31.1 (34),21.5 (38),-0.2 (89)
33. Illinois,9.3,31.5 (28),22.7 (44),0.4 (30)
34. TCU,9.1,31.3 (31),21.9 (40),-0.2 (87)
35. Florida St.,8.8,29.7 (45),20.6 (30),-0.3 (94)
36. Houston,8.2,31.3 (30),22.8 (45),-0.4 (101)
37. Nebraska,7.7,29.2 (49),21.5 (39),0.1 (69)
38. Oklahoma St.,7.1,30.0 (42),23.4 (52),0.5 (26)
39. Boise State,6.8,29.9 (43),22.8 (46),-0.3 (93)
40. Virginia,6.6,26.3 (63),19.9 (27),0.2 (58)
41. Pittsburgh,6.5,30.2 (40),23.8 (53),0.1 (60)
42. Arizona St.,6.4,28.2 (57),21.2 (37),-0.6 (129)
43. Ga. Tech,6.0,28.8 (53),23.4 (51),0.6 (11)
44. Duke,5.7,32.8 (19),27.5 (81),0.4 (36)
45. Minnesota,5.2,25.3 (71),19.5 (24),-0.5 (125)
46. UCLA,5.1,29.0 (52),23.9 (54),0.0 (71)
47. Arkansas,5.0,34.1 (13),29.3 (91),0.3 (44)
48. NC State,4.9,30.7 (35),25.3 (64),-0.4 (103)
49. Northwestern,4.6,24.5 (78),20.4 (28),0.5 (29)
