ourlads_team,site_team,match_score,method,needs_review
Air Force Falcons,Air Force,1.0,manual,False
Akron Zips,Akron,1.0,manual,False
Alabama Crimson Tide,Alabama,1.0,manual,False
Appalachian State Mountaineers,Appalachian State,1.0,manual,False
Arizona State Sun Devils,Arizona State,1.0,manual,False
Arizona Wildcats,Arizona,1.0,manual,False
Arkansas Razorbacks,Arkansas,1.0,manual,False
Arkansas State Red Wolves,Arkansas State,1.0,manual,False
Army Black Knights,Army,1.0,manual,False
Auburn Tigers,Auburn,1.0,manual,False
BYU Cougars,BYU,1.0,manual,False
Ball State Cardinals,Ball State,1.0,manual,False
Baylor Bears,Baylor,1.0,manual,False
Boise State Broncos,Boise State,1.0,manual,False
Boston College Eagles,Boston College,1.0,manual,False
Bowling Green Falcons,Bowling Green,1.0,manual,False
Buffalo Bulls,Buffalo,1.0,manual,False
California Golden Bears,California,1.0,manual,False
Central Florida Knights,UCF,1.0,manual,False
Central Michigan Chippewas,Central Michigan,1.0,manual,False
Charlotte 49ers,Charlotte,1.0,manual,False
Cincinnati Bearcats,Cincinnati,1.0,manual,False
Clemson Tigers,Clemson,1.0,manual,False
Coastal Carolina Chanticleers,Coastal Carolina,1.0,manual,False
Colorado Buffaloes,Colorado,1.0,manual,False
Colorado State Rams,Colorado State,1.0,manual,False
Connecticut Huskies,Connecticut,1.0,manual,False
Delaware Fightin' Blue Hens,Delaware,1.0,manual,False
Duke Blue Devils,Duke,1.0,manual,False
East Carolina Pirates,East Carolina,1.0,manual,False
Eastern Michigan Eagles,Eastern Michigan,1.0,manual,False
Florida Atlantic Owls,Florida Atlantic,1.0,manual,False
Florida Gators,Florida,1.0,manual,False
Florida International Panthers,FIU,1.0,manual,False
Florida State Seminoles,Florida State,1.0,manual,False
Fresno State Bulldogs,Fresno State,1.0,manual,False
Georgia Bulldogs,Georgia,1.0,manual,False
Georgia Southern Eagles,Georgia Southern,1.0,manual,False
Georgia State Panthers,Georgia State,1.0,manual,False
Georgia Tech Yellow Jackets,Georgia Tech,1.0,manual,False
Hawaii Rainbow Warriors,Hawaii,1.0,manual,False
Houston Cougars,Houston,1.0,manual,False
Illinois Fighting Illini,Illinois,1.0,manual,False
Indiana Hoosiers,Indiana,1.0,manual,False
Iowa Hawkeyes,Iowa,1.0,manual,False
Iowa State Cyclones,Iowa State,1.0,manual,False
Jacksonville State Gamecocks,Jacksonville State,1.0,manual,False
James Madison Dukes,James Madison,1.0,manual,False
Kansas Jayhawks,Kansas,1.0,manual,False
Kansas State Wildcats,Kansas State,1.0,manual,False
Kennesaw State Owls,Kennesaw State,1.0,manual,False
Kent State Golden Flashes,Kent State,1.0,manual,False
Kentucky Wildcats,Kentucky,1.0,manual,False
LSU Tigers,LSU,1.0,manual,False
Liberty Flames,Liberty,1.0,manual,False
Louisiana Ragin' Cajuns,Louisiana,1.0,manual,False
Louisiana Tech Bulldogs,Louisiana Tech,1.0,manual,False
Louisiana-Monroe Warhawks,Louisiana-Monroe,1.0,manual,False
Louisville Cardinals,Louisville,1.0,manual,False
Marshall Thundering Herd,Marshall,1.0,manual,False
Maryland Terrapins,Maryland,1.0,manual,False
Massachusetts Minutemen,UMass,1.0,manual,False
Memphis Tigers,Memphis,1.0,manual,False
Miami (Ohio) RedHawks,Miami OH,1.0,manual,False
Miami Hurricanes,Miami FL,1.0,manual,False
Michigan State Spartans,Michigan State,1.0,manual,False
Michigan Wolverines,Michigan,1.0,manual,False
Middle Tennessee Blue Raiders,Middle Tennessee,1.0,manual,False
Minnesota Golden Gophers,Minnesota,1.0,manual,False
Mississippi Rebels,Ole Miss,1.0,manual,False
Mississippi State Bulldogs,Mississippi State,1.0,manual,False
Missouri State Bears,Missouri State,1.0,manual,False
Missouri Tigers,Missouri,1.0,manual,False
Navy Midshipmen,Navy,1.0,manual,False
Nebraska Cornhuskers,Nebraska,1.0,manual,False
Nevada Wolf Pack,Nevada,1.0,manual,False
New Mexico Lobos,New Mexico,1.0,manual,False
New Mexico State Aggies,New Mexico State,1.0,manual,False
North Carolina State Wolfpack,NC State,1.0,manual,False
North Carolina Tar Heels,North Carolina,1.0,manual,False
North Dakota State Bison,North Dakota State,1.0,manual,False
North Texas Mean Green,North Texas,1.0,manual,False
Northern Illinois Huskies,Northern Illinois,1.0,manual,False
Northwestern Wildcats,Northwestern,1.0,manual,False
Notre Dame Fighting Irish,Notre Dame,1.0,manual,False
Ohio Bobcats,Ohio,1.0,manual,False
Ohio State,Ohio State,1.0,manual,False
Ohio State Buckeyes,Ohio State,1.0,manual,False
Oklahoma Sooners,Oklahoma,1.0,manual,False
Oklahoma State Cowboys,Oklahoma State,1.0,manual,False
Old Dominion Monarchs,Old Dominion,1.0,manual,False
Oregon Ducks,Oregon,1.0,manual,False
Oregon State Beavers,Oregon State,1.0,manual,False
Penn State Nittany Lions,Penn State,1.0,manual,False
Pittsburgh Panthers,Pittsburgh,1.0,manual,False
Purdue Boilermakers,Purdue,1.0,manual,False
Rice Owls,Rice,1.0,manual,False
Rutgers Scarlet Knights,Rutgers,1.0,manual,False
SMU Mustangs,SMU,1.0,manual,False
Sacramento State Hornets,Sacramento State,1.0,manual,False
Sam Houston Bearkats,Sam Houston,1.0,manual,False
San Diego State Aztecs,San Diego State,1.0,manual,False
San Jose State Spartans,San Jose State,1.0,manual,False
South Alabama Jaguars,South Alabama,1.0,manual,False
South Carolina Gamecocks,South Carolina,1.0,manual,False
South Florida Bulls,South Florida,1.0,manual,False
Southern Miss Golden Eagles,Southern Miss,1.0,manual,False
Stanford Cardinal,Stanford,1.0,manual,False
Syracuse Orange,Syracuse,1.0,manual,False
TCU Horned Frogs,TCU,1.0,manual,False
Temple Owls,Temple,1.0,manual,False
Tennessee Volunteers,Tennessee,1.0,manual,False
Texas A&M Aggies,Texas A&M,1.0,manual,False
Texas Longhorns,Texas,1.0,manual,False
Texas State Bobcats,Texas State,1.0,manual,False
Texas Tech Red Raiders,Texas Tech,1.0,manual,False
Toledo Rockets,Toledo,1.0,manual,False
Troy Trojans,Troy,1.0,manual,False
Tulane Green Wave,Tulane,1.0,manual,False
Tulsa Golden Hurricane,Tulsa,1.0,manual,False
UAB Blazers,UAB,1.0,manual,False
UCLA Bruins,UCLA,1.0,manual,False
UNLV Rebels,UNLV,1.0,manual,False
USC Trojans,USC,1.0,manual,False
UTEP Miners,UTEP,1.0,manual,False
UTSA Roadrunners,UTSA,1.0,manual,False
Utah State Aggies,Utah State,1.0,manual,False
Utah Utes,Utah,1.0,manual,False
Vanderbilt Commodores,Vanderbilt,1.0,manual,False
Virginia Cavaliers,Virginia,1.0,manual,False
Virginia Tech Hokies,Virginia Tech,1.0,manual,False
Wake Forest Demon Deacons,Wake Forest,1.0,manual,False
Washington Huskies,Washington,1.0,manual,False
Washington State Cougars,Washington State,1.0,manual,False
West Virginia Mountaineers,West Virginia,1.0,manual,False
