season,snapshot_week,rows,unique_teams,duplicate_team_rows,missing_overall,missing_offense,missing_defense,missing_special_teams,source_url,snapshot_timestamp,published_at,historically_frozen,state_interpretation,opener_timing_verifiable,timing_note,eligible_for_actionable_gap_test
2021,0,130,130,0,0,0,0,130,https://www.espn.com/college-football/insider/story/_/id/32000492/college-football-2021-updated-preseason-sp+-rankings,,,False,preseason,False,reconstructed in 2026; source publication timestamp blank,False
2021,1,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32167023/college-football-sp+-rankings-week-1,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,3,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32236386/college-football-sp+-rankings-week-3,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,4,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32284525/college-football-sp+-rankings-week-4,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,5,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32331295/college-football-sp+-rankings-week-5,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,6,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32373304/college-football-sp+-rankings-week-6,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,7,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32417173/college-football-sp+-rankings-week-7,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,8,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32466102/college-football-sp+-rankings-week-8,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,9,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32518930/college-football-sp+-rankings-week-9,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,10,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32575515/college-football-sp+-rankings-week-10,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,11,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32630394/college-football-sp+-rankings-week-11,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,12,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32681145/college-football-sp+-rankings-week-12,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,13,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32735708/college-football-sp+-rankings-week-13,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2021,14,130,130,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/32794785/college-football-sp+-rankings-championship-week,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
2022,0,131,131,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/34431935/college-football-final-sp+-2022-preseason-projections,,,False,preseason,False,reconstructed in 2026; source publication timestamp blank,False
2022,1,131,131,0,0,0,0,0,https://www.espn.com/college-football/insider/story/_/id/34535344/college-football-sp+-rankings-week-1,,,False,postgame weekly table,False,reconstructed in 2026; source publication timestamp blank,False
