Home,Road,line,linesag,linepayne,linemass,linepfz,linelaz,linemoore,linesagr,lineargh,linepaynep,linehow,linesagpred,linepaynewl,linekam,linerwp,lineavg,lineelo,lineloud,lineborn,linedokter,linesuper,linedunk,linebill,linebihl,lineround,linefei,linemedian,lineharville,linesaggm,lineespn,linefox,lineopen,linepig,linecons,linecong,linepibias,linel2,lineteamrank,lineash,linepimean,lineca,linekeep,linekerns,linel2hf,linelog,lineatom,linedwig,linepiratings,linecather,linetalis,linedonchess,linefeng,linemidweek,lineclean,linecurry,linepugh,linestd,vscore,hscore,week,actual,total,phcover,phwin,season,closing_home_margin,tracker_week,pt_home_norm,pt_away_norm,cfbd_matched,cfbd_candidate_count,cfbd_exact_score_count,cfbd_match_score,game_id,home_team_cfbd,away_team_cfbd,home_norm,away_norm,home_score_cfbd,away_score_cfbd,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,venue,start_date,linewayward,linebig200,linecfp,linefluker,home_sp_plus,away_sp_plus,sp_snapshot_week,away_sp_snapshot_week,home_sp_name,away_sp_name,home_sp_match_score,away_sp_match_score,neutral_sp_plus_difference,hfa_residual,neutral_residual
Navy,Notre Dame,-15.5,-18.74,-16.7,-16.48,-6.38,-11.97,-15.16,-21.47,-13.0,-15.33,-19.0,-16.42,-17.44,-19.5,-9.33,-17.16,-13.08,-14.0,-19.25,-12.64,,-20.51,-14.72,-11.32,-18.0,-16.8,-17.18,-21.03,-20.01,-19.78,-17.0,-17.0,-23.0,-23.45,-25.1,-23.8,-11.81,-17.0,,-21.9,-15.5,-13.77,-7.65,-37.98,-3.16,,-18.0,-22.7,-18.0,-15.96,-23.5,,-15.0,-17.5,-26.76,-17.18,4.5,35,32,11.0,-3,67,0.4599313187,0.1491682926,2022,-15.5,12,navy,notre dame,True,1,1,1.0,401404131,Navy,Notre Dame,navy,notre dame,32.0,35.0,True,False,American Athletic,FBS Independents,fbs,fbs,M&T Bank Stadium,2022-11-12T17:00:00.000Z,,,,,-11.0,11.8,10.0,10.0,Navy,Notre Dame,1.0,1.0,-22.8,7.300000000000001,7.300000000000001
Georgia,LSU,17.5,11.41,14.13,14.9,17.15,10.89,10.76,9.73,17.0,13.69,26.0,12.63,14.37,19.75,13.55,14.83,14.25,7.0,11.6,14.03,,13.45,15.81,14.22,10.0,17.6,14.89,15.42,14.55,13.49,14.0,14.5,15.0,4.26,15.82,18.0,16.55,14.4,,17.0,17.0,16.96,13.3,31.4,11.64,,15.0,17.5,20.0,14.89,16.0,,17.5,16.5,17.46,15.01,3.37,30,50,14.0,20,80,0.434654571,0.8196110855,2022,17.5,15,georgia,lsu,True,1,1,1.0,401437036,Georgia,LSU,georgia,lsu,50.0,30.0,True,True,SEC,SEC,fbs,fbs,Mercedes-Benz Stadium,2022-12-03T21:00:00.000Z,,,,,34.4,17.7,12.0,12.0,Georgia,LSU,1.0,1.0,16.7,0.8000000000000007,0.8000000000000007
Michigan,Purdue,16.5,17.42,20.37,15.2,19.74,15.03,20.37,18.77,23.0,20.24,26.0,14.78,20.44,17.97,15.68,19.01,19.22,,20.4,17.83,,22.9,19.93,17.06,16.0,23.3,19.0,17.68,17.49,17.84,19.0,15.5,21.0,12.55,17.78,17.3,21.11,18.6,,15.8,16.5,22.35,18.0,14.01,29.72,,22.0,15.6,20.0,19.11,24.5,,17.0,12.5,24.99,20.89,3.03,22,43,14.0,21,65,0.5617133554,0.880263921,2022,16.5,15,michigan,purdue,True,1,1,1.0,401437031,Michigan,Purdue,michigan,purdue,43.0,22.0,True,True,Big Ten,Big Ten,fbs,fbs,Lucas Oil Stadium,2022-12-04T01:00:00.000Z,,,,,30.8,4.8,12.0,12.0,Michigan,Purdue,1.0,1.0,26.0,-9.5,-9.5
Ohio,Toledo,-3.0,4.16,5.5,0.76,-0.9,2.55,2.66,7.32,5.0,2.27,7.5,0.28,7.23,-1.02,7.95,3.74,9.84,,9.3,-3.28,,12.23,7.28,4.03,2.0,4.2,3.46,2.62,2.11,-1.54,4.0,-3.0,9.0,7.68,-1.78,2.4,3.46,-0.8,,2.3,-2.0,5.15,0.8,22.68,1.11,,7.0,0.7,10.0,2.26,-3.4,,-2.0,-8.0,13.39,3.33,4.29,17,7,14.0,-10,24,0.6590483859,0.5899567929,2022,-3.0,15,ohio,toledo,True,1,1,1.0,401437033,Ohio,Toledo,ohio,toledo,7.0,17.0,True,True,Mid-American,Mid-American,fbs,fbs,Ford Field,2022-12-03T17:00:00.000Z,,,,,-5.6,-0.7,12.0,12.0,Ohio,Toledo,1.0,1.0,-4.8999999999999995,1.8999999999999995,1.8999999999999995
TCU,Kansas St.,2.0,1.69,7.79,-1.2,3.34,-0.59,0.73,2.0,10.0,0.44,13.5,-0.47,11.76,-2.27,6.96,2.43,1.09,,1.2,1.11,,0.43,15.02,1.47,7.0,-0.01,1.33,1.58,3.56,1.33,0.01,2.5,1.0,1.9,-0.19,4.4,-0.19,0.3,,4.2,2.0,-0.21,2.2,8.84,11.17,,2.0,4.2,4.0,0.01,2.9,,2.5,-7.0,2.75,-0.1,4.44,31,28,14.0,-3,59,0.5104050429,0.5585949804,2022,2.0,15,tcu,kansas st,True,2,1,1.0,401437030,TCU,Kansas State,tcu,kansas st,28.0,31.0,True,True,Big 12,Big 12,fbs,fbs,AT&T Stadium,2022-12-03T17:00:00.000Z,,,,,21.8,19.1,12.0,12.0,TCU,Kansas St.,1.0,1.0,2.6999999999999993,-0.6999999999999993,-0.6999999999999993
USC,Utah,2.5,-1.94,3.77,-4.54,-3.3,-0.97,-2.77,-3.25,4.0,-3.09,8.0,-2.56,7.45,-2.24,4.81,-1.41,0.5,,-3.5,-1.24,,-1.38,4.4,-0.46,3.0,-1.3,-2.2,-1.84,1.13,-3.88,-8.0,1.0,2.0,1.75,-10.48,-4.0,-1.7,-2.2,,-3.1,1.5,-6.63,-0.2,7.63,0.96,,-3.0,-4.1,-4.0,-2.34,2.2,,2.5,-12.0,0.83,-2.65,4.01,47,24,14.0,-23,71,0.405634,0.4656890224,2022,2.5,15,usc,utah,True,1,1,1.0,401437035,USC,Utah,usc,utah,24.0,47.0,True,True,Pac-12,Pac-12,fbs,fbs,Allegiant Stadium,2022-12-03T01:00:00.000Z,,,,,17.0,17.9,12.0,12.0,USC,Utah,1.0,1.0,-0.8999999999999986,3.3999999999999986,3.3999999999999986
Army,Navy,-2.5,-0.62,0.01,-1.34,0.11,-1.59,1.21,0.1,1.0,-1.74,1.0,-0.83,1.05,-2.63,-0.18,-1.11,-3.73,2.0,-2.3,-1.53,,-1.28,1.12,-4.46,-1.0,-4.0,-1.0,0.17,-1.67,0.41,-2.0,0.0,-2.0,-1.35,3.94,1.1,-6.41,-0.9,,1.1,-2.5,-7.5,-2.85,-9.67,-0.97,,-2.0,0.3,-1.0,-5.47,-1.6,,-2.5,8.0,1.19,-4.53,2.61,17,20,15.0,3,37,0.5344262555,0.4724961447,2022,-2.5,16,army,navy,True,1,1,1.0,401404145,Army,Navy,army,navy,20.0,17.0,True,False,FBS Independents,American Athletic,fbs,fbs,Lincoln Financial Field,2022-12-10T20:00:00.000Z,,,,,-6.1,-7.2,12.0,12.0,Army,Navy,1.0,1.0,1.1000000000000005,-3.6000000000000005,-3.6000000000000005
Notre Dame,Navy,20.5,20.7,17.38,17.88,8.7,14.66,15.11,20.7,13.0,18.81,20.0,20.7,13.13,17.56,7.99,17.36,9.66,9.0,16.3,18.02,,,15.0,,,13.5,17.56,17.81,20.7,28.46,16.0,20.5,28.0,,26.16,18.8,,20.5,,21.7,20.0,,17.4,,,,11.0,18.7,,13.31,15.5,,20.5,13.0,19.62,20.18,4.7,3,42,1.0,39,45,0.4247872679,0.8528127462,2023,20.5,1,notre dame,navy,True,1,1,1.0,401525434,Notre Dame,Navy,notre dame,navy,42.0,3.0,True,False,FBS Independents,American Athletic,fbs,fbs,Aviva Stadium,2023-08-26T18:30:00.000Z,,,,,19.9,-12.3,0.0,0.0,11. Notre Dame,102. Navy,1.0,1.0,32.2,-11.700000000000003,-11.700000000000003
Florida St.,LSU,-2.5,-6.85,-3.91,-4.18,4.12,-3.2,-0.84,-6.87,-1.0,-3.12,-5.5,-6.88,-6.25,-1.2,2.05,-2.14,-0.4,-5.0,-4.2,0.27,,,-1.46,,,-8.8,-2.43,-2.46,-6.85,-6.14,-1.0,-2.0,4.0,,2.8,-2.4,,-3.3,,-2.1,-2.5,1.0,-1.4,,,,-3.0,-1.6,,-2.55,-1.8,,-2.5,16.0,-1.4,-2.78,4.23,24,45,1.0,21,69,0.508740943,0.4481823595,2023,-2.5,2,florida state,lsu,True,1,1,1.0,401520182,Florida State,LSU,florida state,lsu,45.0,24.0,True,False,ACC,SEC,fbs,fbs,Camping World Stadium,2023-09-03T23:30:00.000Z,,,,,19.1,23.3,0.0,0.0,12. Florida St.,5. LSU,1.0,1.0,-4.199999999999999,1.6999999999999993,1.6999999999999993
Tennessee,Virginia,27.5,26.65,27.78,23.54,43.51,20.56,22.66,26.72,16.0,30.13,21.0,26.73,20.72,31.68,17.83,27.04,27.45,3.0,39.65,22.53,,,20.42,,,19.4,26.65,27.51,26.64,19.08,35.0,28.0,27.0,,35.37,24.7,,31.1,,23.7,27.5,37.7,39.5,,,,40.0,24.0,,33.54,17.5,,27.5,15.5,38.01,23.02,8.12,13,49,1.0,36,62,0.4897091495,0.9353016691,2023,27.5,2,tennessee,virginia,True,1,1,1.0,401520179,Tennessee,Virginia,tennessee,virginia,49.0,13.0,True,False,SEC,ACC,fbs,fbs,Nissan Stadium,2023-09-02T16:00:00.000Z,,,,,22.4,-5.8,0.0,0.0,8. Tennessee,79. Virginia,1.0,1.0,28.2,-0.6999999999999993,-0.6999999999999993
Indiana,Louisville,-10.0,-9.9,-12.79,-8.32,3.09,-8.08,-14.4,-10.19,-9.0,-18.53,-12.0,-10.44,-9.7,-9.22,-6.51,-11.34,-10.53,-20.0,-12.1,-5.65,,-9.37,-9.37,,,-4.5,-10.52,-11.58,-10.9,-10.12,-14.0,-6.0,-11.0,,-17.85,-23.4,,-11.5,,-17.5,-10.0,-28.0,-12.2,,,,-7.0,-19.7,,-18.41,-8.9,,-10.0,-0.5,-14.68,-10.52,5.66,21,14,3.0,-7,35,0.4683142034,0.2505204057,2023,-10.0,4,indiana,louisville,True,1,1,1.0,401520230,Indiana,Louisville,indiana,louisville,14.0,21.0,True,False,Big Ten,ACC,fbs,fbs,Lucas Oil Stadium,2023-09-16T16:00:00.000Z,,,,,-3.2,12.9,2.0,2.0,Indiana,Louisville,1.0,1.0,-16.1,6.100000000000001,6.100000000000001
Missouri,Memphis,7.0,1.77,-0.6,3.35,-0.89,4.1,1.69,2.33,2.0,-7.04,1.0,1.57,2.86,2.62,8.34,3.57,2.1,-4.0,7.5,4.29,,7.39,8.4,,2.0,2.4,2.8,4.87,1.26,2.74,-4.0,5.5,10.0,,15.7,9.5,,-0.7,,8.3,6.5,1.8,6.6,,,,6.0,9.4,,0.26,4.5,,6.5,-4.0,4.97,4.52,4.34,27,34,4.0,7,61,0.417444618,0.5858734909,2023,7.0,5,missouri,memphis,True,1,1,1.0,401520259,Missouri,Memphis,missouri,memphis,34.0,27.0,True,False,SEC,American Athletic,fbs,fbs,The Dome at America's Center,2023-09-23T23:30:00.000Z,,,,,10.4,8.7,3.0,3.0,Missouri,Memphis,1.0,1.0,1.700000000000001,5.299999999999999,5.299999999999999
Arkansas,Texas A&M,-5.5,-8.3,-11.22,-2.52,-8.77,-6.45,-4.66,-8.48,-10.0,-15.38,-7.0,-9.35,-8.97,-1.93,-3.87,-7.3,-5.13,-13.0,-4.9,-6.52,,-7.86,-0.73,,-24.0,-8.3,-6.76,-3.9,-8.39,-9.18,-1.0,-6.5,-6.0,,-10.75,-3.3,,-12.1,,-3.7,-5.5,-9.8,-18.1,,,,-6.0,-2.2,,-0.3,-3.8,,-6.5,-5.0,-3.68,-9.16,4.81,34,22,5.0,-12,56,0.4567962349,0.3299462544,2023,-5.5,6,arkansas,texas a and m,True,1,1,1.0,401520279,Arkansas,Texas A&M,arkansas,texas a and m,22.0,34.0,True,True,SEC,SEC,fbs,fbs,AT&T Stadium,2023-09-30T16:00:00.000Z,,,,,8.8,19.6,4.0,4.0,Arkansas,Texas A&M,1.0,1.0,-10.8,5.300000000000001,5.300000000000001
Texas,Oklahoma,4.5,0.14,0.22,-1.31,0.11,-0.58,-1.61,-0.78,5.0,-8.38,2.0,-1.04,4.85,3.96,9.6,1.99,6.91,-6.0,0.4,-0.28,,5.06,8.1,,8.0,-1.0,0.4,-0.93,3.04,-1.69,1.0,4.5,6.0,,10.64,7.1,,-2.0,,5.8,4.5,-2.7,-3.9,,,,-2.0,7.6,,6.68,3.5,,6.5,4.0,5.54,-0.84,4.43,34,30,6.0,-4,64,0.4394782555,0.5480521421,2023,4.5,7,texas,oklahoma,True,1,1,1.0,401525861,Texas,Oklahoma,texas,oklahoma,30.0,34.0,True,True,Big 12,Big 12,fbs,fbs,Cotton Bowl,2023-10-07T16:00:00.000Z,,,,,23.1,20.6,5.0,5.0,Texas,Oklahoma,1.0,1.0,2.5,2.0,2.0
Florida,Georgia,-14.5,-14.99,-9.9,-17.55,-12.6,-12.85,-7.28,-15.88,-13.0,-11.16,-13.5,-14.33,-9.22,-17.35,-7.38,-14.22,-10.7,-11.0,-17.2,-10.56,,-16.65,-11.82,-8.55,-12.0,-13.6,-14.33,-15.75,-16.12,-15.77,-18.0,-14.5,-15.0,,-16.92,-20.6,-10.27,-14.9,,-20.2,-14.5,-17.6,-11.5,-10.36,-15.69,,-10.0,-19.7,,-20.33,-23.0,,-14.5,-10.5,-16.82,-14.74,3.71,43,20,9.0,-23,63,0.5068518055,0.1915267467,2023,-14.5,10,florida,georgia,True,1,1,1.0,401520352,Florida,Georgia,florida,georgia,20.0,43.0,True,True,SEC,SEC,fbs,fbs,EverBank Stadium,2023-10-28T19:30:00.000Z,,,,,9.2,24.0,8.0,8.0,Florida,Georgia,1.0,1.0,-14.8,0.3000000000000007,0.3000000000000007
Air Force,Army,17.5,20.97,28.95,17.98,29.17,18.68,22.89,21.13,20.0,24.11,23.5,20.38,31.55,26.14,18.62,23.18,23.54,20.0,27.95,18.36,,30.5,19.77,27.0,28.0,20.3,23.09,19.16,23.81,17.96,24.0,19.0,25.0,,13.04,21.3,31.13,19.7,,20.4,18.5,31.9,26.9,23.78,14.92,,25.0,18.2,,15.9,23.0,,18.5,10.0,26.72,24.35,5.21,23,3,10.0,-20,26,0.6330634418,0.9173469927,2023,17.5,11,air force,army,True,1,1,1.0,401520361,Air Force,Army,air force,army,3.0,23.0,True,False,Mountain West,FBS Independents,fbs,fbs,Sports Authority Field at Mile High,2023-11-04T18:30:00.000Z,,,,,8.8,-13.2,9.0,9.0,Air Force,Army,1.0,1.0,22.0,-4.5,-4.5
Northwestern,Iowa,-4.5,-8.6,-6.81,-15.04,-3.58,-7.73,-9.64,-9.63,-6.0,-7.17,-7.5,-7.22,-6.62,-10.38,-6.89,-8.3,-5.52,-7.0,-7.95,-7.61,,-6.85,-13.13,-3.73,-6.0,-7.3,-7.61,-13.42,-9.5,-11.38,-11.0,-6.0,-4.0,,-17.74,-9.0,-3.21,-9.9,,-9.7,-5.5,-7.3,-3.8,-1.43,-1.0,,-7.0,-8.4,,-13.82,-12.0,,-5.0,-5.5,-10.36,-10.4,3.41,10,7,10.0,-3,17,0.4074718712,0.3045980592,2023,-4.5,11,northwestern,iowa,True,1,1,1.0,401520373,Northwestern,Iowa,northwestern,iowa,7.0,10.0,True,True,Big Ten,Big Ten,fbs,fbs,Wrigley Field,2023-11-04T19:30:00.000Z,,,,,-6.8,7.1,9.0,9.0,Northwestern,Iowa,1.0,1.0,-13.899999999999999,9.399999999999999,9.399999999999999
Syracuse,Pittsburgh,-3.0,0.27,7.1,-0.33,8.66,5.77,6.61,-0.94,5.0,4.05,3.0,1.62,8.74,0.42,8.07,1.85,2.03,6.0,1.55,0.01,,0.94,3.01,2.89,7.0,1.4,1.55,1.2,0.94,2.01,0.01,-2.0,3.0,,0.44,1.4,1.55,2.8,,0.9,-1.5,-7.1,-0.8,14.51,1.74,,-4.0,2.4,,-0.8,-0.7,,-3.0,0.01,-4.19,1.66,3.27,13,28,11.0,15,41,0.617618639,0.5454366713,2023,-3.0,12,syracuse,pittsburgh,True,1,1,1.0,401525552,Syracuse,Pittsburgh,syracuse,pittsburgh,28.0,13.0,True,True,ACC,ACC,fbs,fbs,Yankee Stadium,2023-11-11T20:30:00.000Z,,,,,-0.9,-1.3,10.0,10.0,Syracuse,Pittsburgh,1.0,1.0,0.4,-3.4,-3.4
Michigan St.,Penn St.,-22.5,-20.44,-21.43,-23.7,-35.69,-22.13,-25.15,-21.34,-21.0,-29.1,-20.5,-21.91,-17.3,-28.04,-12.02,-24.01,-18.61,-21.0,-25.95,-22.66,,-22.43,-14.21,-23.83,-22.0,-27.8,-23.83,-25.2,-19.88,-25.87,-22.0,-20.0,-22.0,,-25.34,-24.9,-30.15,-27.1,,-24.0,-22.5,-28.8,-25.3,-38.13,-11.59,,-33.0,-23.9,,-31.56,-25.5,,-21.0,-10.0,-20.56,-33.19,5.51,42,0,13.0,-42,42,0.4641999732,0.0765302983,2023,-22.5,14,michigan st,penn st,True,1,1,1.0,401520435,Michigan State,Penn State,michigan st,penn st,0.0,42.0,True,True,Big Ten,Big Ten,fbs,fbs,Ford Field,2023-11-25T00:30:00.000Z,,,,,-6.2,23.7,12.0,12.0,Michigan St.,Penn St.,1.0,1.0,-29.9,7.399999999999999,7.399999999999999
Alabama,Georgia,-5.0,-0.27,-3.29,-1.16,-2.54,-1.17,-2.83,0.89,-5.0,-2.63,-4.0,-0.65,-3.65,-3.71,-3.47,-3.09,-4.45,,-0.2,-5.55,,-3.56,-6.63,-2.63,,-6.0,-3.0,-2.85,-2.09,-0.72,-3.0,-4.0,-2.0,,-2.05,-3.9,-3.59,-2.9,,-3.9,-5.0,-6.6,-3.0,-1.25,-9.9,,-3.0,-5.1,,-3.52,-6.8,,-6.5,-3.0,-1.26,-2.24,1.82,24,27,14.0,3,51,0.5475753277,0.4233274482,2023,-5.0,15,alabama,georgia,True,1,1,1.0,401539483,Alabama,Georgia,alabama,georgia,27.0,24.0,True,True,SEC,SEC,fbs,fbs,Mercedes-Benz Stadium,2023-12-02T21:00:00.000Z,,,,,22.7,29.9,13.0,13.0,Alabama,Georgia,1.0,1.0,-7.199999999999999,2.1999999999999993,2.1999999999999993
Florida St.,Louisville,2.5,7.34,10.23,7.94,7.58,4.44,8.5,7.64,12.0,8.39,11.5,6.5,11.21,9.77,10.1,8.69,7.9,,7.9,6.73,,10.8,12.98,7.83,,8.1,8.45,7.09,8.6,9.11,11.0,6.5,11.0,,14.43,8.6,9.11,10.4,,9.1,4.0,5.6,8.3,22.61,11.66,,8.0,9.3,,9.28,4.4,,2.5,6.5,10.82,7.81,2.23,6,16,14.0,10,22,0.6503027619,0.7061218591,2023,2.5,15,florida state,louisville,True,1,1,1.0,401539478,Florida State,Louisville,florida state,louisville,16.0,6.0,True,True,ACC,ACC,fbs,fbs,Bank of America Stadium,2023-12-03T01:00:00.000Z,,,,,23.6,10.1,13.0,13.0,Florida St.,Louisville,1.0,1.0,13.500000000000002,-11.000000000000002,-11.000000000000002
Iowa,Michigan,-22.5,-18.35,-16.89,-20.16,-25.79,-17.25,-21.35,-20.25,-13.0,-24.63,-17.0,-18.67,-12.73,-22.24,-14.86,-20.79,-21.06,,-22.0,-21.34,,-23.28,-17.32,-18.08,,-26.5,-21.46,-18.25,-16.13,-21.56,-21.0,-23.0,-22.0,,-22.11,-25.7,-23.84,-22.7,,-24.2,-22.5,-24.8,-22.1,-32.16,-27.76,,-25.0,-24.7,,-20.2,-26.0,,-22.0,-8.0,-23.17,-23.77,4.12,26,0,14.0,-26,26,0.5415183003,0.1024746505,2023,-22.5,15,iowa,michigan,True,1,1,1.0,401539480,Iowa,Michigan,iowa,michigan,0.0,26.0,True,True,Big Ten,Big Ten,fbs,fbs,Lucas Oil Stadium,2023-12-03T01:00:00.000Z,,,,,8.4,31.1,13.0,13.0,Iowa,Michigan,1.0,1.0,-22.700000000000003,0.20000000000000284,0.20000000000000284
Texas,Oklahoma St.,15.0,12.81,14.61,13.57,21.84,10.91,18.37,13.71,17.0,19.04,19.0,11.75,12.22,17.52,12.1,16.27,11.27,,23.8,14.44,,19.16,11.14,13.79,,15.9,16.86,13.8,13.65,17.03,19.0,11.5,15.0,,19.32,20.8,16.72,18.9,,19.8,15.0,17.7,19.4,23.88,2.44,,15.0,20.8,,17.99,22.5,,15.0,8.5,16.01,18.39,3.58,21,49,14.0,28,70,0.5311015606,0.8412871277,2023,15.0,15,texas,oklahoma st,True,1,1,1.0,401539479,Texas,Oklahoma State,texas,oklahoma st,49.0,21.0,True,True,Big 12,Big 12,fbs,fbs,AT&T Stadium,2023-12-02T17:00:00.000Z,,,,,22.9,6.9,13.0,13.0,Texas,Oklahoma St.,1.0,1.0,15.999999999999998,-0.9999999999999982,-0.9999999999999982
Washington,Oregon,-9.5,-7.81,0.17,-7.05,-18.43,-6.72,-11.74,-11.44,-2.0,-11.37,2.0,-6.41,6.38,-7.61,-2.84,-7.59,-7.76,,-13.8,-8.74,,-13.28,7.67,-6.39,,-11.3,-8.01,-3.89,-2.06,-9.72,-13.0,-7.5,-7.0,,-7.31,-9.7,-9.74,-8.6,,-10.0,-9.5,-16.8,-8.2,-8.48,9.43,,-13.0,-10.4,,-7.59,-3.6,,-10.0,-2.5,-10.84,-11.44,5.71,31,34,14.0,3,65,0.5450736184,0.3263793573,2023,-9.5,15,washington,oregon,True,2,1,1.0,401539475,Washington,Oregon,washington,oregon,34.0,31.0,True,True,Pac-12,Pac-12,fbs,fbs,Allegiant Stadium,2023-12-02T01:00:00.000Z,,,,,17.0,25.4,13.0,13.0,Washington,Oregon,1.0,1.0,-8.399999999999999,-1.1000000000000014,-1.1000000000000014
Georgia,Clemson,12.0,19.11,19.34,16.6,21.91,13.84,13.25,19.16,9.0,20.6,19.0,19.15,18.66,15.0,13.58,16.57,15.65,3.0,23.35,16.2,,,4.44,,,15.3,17.23,12.84,19.09,15.23,,13.0,17.0,8.81,14.56,21.1,,17.6,,17.9,13.0,23.89,23.15,,,,20.0,17.6,,17.17,7.9,,13.5,,17.29,17.66,5.09,3,34,1.0,31,37,0.6080175692,0.8398982763,2024,12.0,2,georgia,clemson,True,1,1,1.0,401628323,Georgia,Clemson,georgia,clemson,34.0,3.0,True,False,SEC,ACC,fbs,fbs,Mercedes-Benz Stadium,2024-08-31T16:00:00.000Z,16.98,8.85,26.5,,34.2,18.8,0.0,0.0,1. Georgia,16. Clemson,1.0,1.0,15.400000000000002,-3.400000000000002,-3.400000000000002
NC St.,Tennessee,-9.0,-6.21,-0.76,-15.28,-7.3,-10.87,-2.65,-8.39,-3.0,-3.88,-4.0,-7.15,0.93,-6.73,-0.7,-7.48,2.35,-2.0,-12.65,-8.54,,,-4.81,,,-9.0,-7.1,-14.03,-3.98,-19.06,,-6.5,-3.0,-1.05,-7.12,-7.1,,-14.4,,-7.9,-9.0,-11.48,-35.4,,,,-11.0,-7.5,,-9.94,-3.7,,-8.0,-0.5,-5.64,-15.03,6.74,51,10,2.0,-41,61,0.5351153428,0.3322468452,2024,-9.0,3,nc state,tennessee,True,1,1,1.0,401628346,NC State,Tennessee,nc state,tennessee,10.0,51.0,True,False,ACC,SEC,fbs,fbs,Bank of America Stadium,2024-09-07T23:30:00.000Z,-10.78,-1.83,-7.0,,8.4,22.7,1.0,1.0,NC State,Tennessee,1.0,1.0,-14.299999999999999,5.299999999999999,5.299999999999999
Northwestern,Duke,1.5,4.34,-0.86,0.33,-2.98,-0.72,16.73,4.23,-0.25,-5.08,-1.0,4.16,1.4,-3.34,8.39,2.31,1.01,1.0,2.35,5.0,,,7.46,,,-1.6,1.4,-1.87,4.66,1.72,,2.5,6.0,-0.01,17.68,1.8,,4.7,,0.8,1.5,0.91,7.05,,,,2.0,1.0,,-5.82,0.9,,2.5,6.0,7.39,-1.71,4.88,26,20,2.0,-6,46,0.5194489425,0.555309108,2024,1.5,3,northwestern,duke,True,1,1,1.0,401635533,Northwestern,Duke,northwestern,duke,20.0,26.0,True,False,Big Ten,ACC,fbs,fbs,Lanny and Sharon Martin Stadium,2024-09-07T01:00:00.000Z,3.48,-2.67,1.5,,-2.1,5.5,1.0,1.0,Northwestern,Duke,1.0,1.0,-7.6,9.1,9.1
Kansas,UNLV,9.0,6.28,10.15,10.89,1.13,-2.5,29.32,2.63,5.0,13.38,2.5,6.1,8.41,5.91,2.32,7.85,6.36,-9.0,3.05,8.26,,10.83,6.16,,,7.7,7.03,7.91,9.38,9.79,,8.5,8.0,18.55,7.8,16.8,,4.2,,13.8,9.0,6.96,-2.75,,,,1.0,15.4,,12.88,6.9,,7.5,9.5,6.59,5.65,6.31,23,20,3.0,-3,43,0.4731655049,0.6770614936,2024,9.0,4,kansas,unlv,True,1,1,1.0,401636863,Kansas,UNLV,kansas,unlv,20.0,23.0,True,False,Big 12,Mountain West,fbs,fbs,Children's Mercy Park,2024-09-13T23:00:00.000Z,7.13,7.03,,,9.2,2.6,2.0,2.0,Kansas,UNLV,1.0,1.0,6.6,2.4000000000000004,2.4000000000000004
Washington,Washington St.,5.5,3.4,27.22,9.3,14.22,7.61,20.45,0.96,6.0,15.26,15.0,3.5,33.67,8.17,15.58,10.36,13.25,-2.0,4.95,7.72,,10.67,15.61,,,7.9,8.17,7.65,5.02,5.52,,4.0,9.0,18.21,15.68,15.3,,2.5,,13.5,6.0,5.47,11.0,,,,-2.0,15.8,,7.14,-1.6,,5.0,5.0,17.58,0.79,7.53,24,19,3.0,-5,43,0.6089495017,0.7222660723,2024,5.5,4,washington,washington st,True,1,1,1.0,401628484,Washington,Washington State,washington,washington st,19.0,24.0,True,False,Big Ten,Pac-12,fbs,fbs,Lumen Field,2024-09-14T19:30:00.000Z,7.34,6.09,,,13.1,13.1,2.0,2.0,Washington,Washington,1.0,0.8696,0.0,5.5,5.5
Kansas,TCU,2.0,5.41,11.17,0.28,7.29,2.29,13.34,4.4,-1.0,5.99,-3.0,6.1,13.95,3.05,-7.48,4.46,3.77,0.0,8.15,2.06,,9.8,4.95,,-6.0,0.7,4.4,1.66,5.04,4.16,,2.5,3.0,1.05,7.34,7.7,,3.7,,6.4,2.0,2.74,4.55,,,,7.0,7.4,,11.4,2.5,,2.0,4.0,7.7,2.79,4.47,38,27,5.0,-11,65,0.5592927148,0.6065959341,2024,2.0,6,kansas,tcu,True,1,1,1.0,401636882,Kansas,TCU,kansas,tcu,27.0,38.0,True,True,Big 12,Big 12,fbs,fbs,GEHA Field at Arrowhead Stadium,2024-09-28T19:30:00.000Z,-1.15,5.61,3.1,,8.1,8.3,4.0,4.0,Kansas,TCU,1.0,1.0,-0.20000000000000107,2.200000000000001,2.200000000000001
Texas A&M,Arkansas,4.5,5.31,11.71,6.07,-3.71,3.47,7.66,3.27,2.0,13.84,3.5,5.41,10.56,8.06,-0.44,6.57,5.44,0.0,6.9,6.93,,10.12,2.91,,1.0,8.8,6.52,1.53,7.75,2.41,,5.0,5.0,6.3,9.59,12.3,,3.9,,10.3,4.5,13.6,1.2,,,,2.0,10.2,,18.7,3.3,,4.5,7.0,8.0,6.52,4.42,17,21,5.0,4,38,0.5499820946,0.6549408789,2024,4.5,6,texas a and m,arkansas,True,1,1,1.0,401628373,Texas A&M,Arkansas,texas a and m,arkansas,21.0,17.0,True,True,SEC,SEC,fbs,fbs,AT&T Stadium,2024-09-28T19:30:00.000Z,9.19,10.26,6.5,,14.5,10.5,4.0,4.0,Texas A&M,Arkansas,1.0,1.0,4.0,0.5,0.5
