flag,reason,game_id,cfbd_game_id,week,date,away_team,home_team,neutral_site,away_power,home_power,stored_home_hfa,hfa_used,stored_projected_margin_home,expected_margin_home,projection_diff_pts,stored_projected_spread,expected_projected_spread,market_spread,projected_total,market_total
OK,,g86,401856668,1,2026-09-05,Missouri State,Texas A&M,False,-16.748315,20.716685,2.5,2.6,40.065,40.065000000000005,-7.105427357601002e-15,Texas A&M -40.1,Texas A&M -40.1,Texas A&M -39.5,52.8,52.5
OK,,g108,401856671,2,2026-09-12,Southern Miss,Auburn,False,-16.623315,12.364185,2.6,2.6,31.5875,31.587500000000006,-7.105427357601002e-15,Auburn -31.6,Auburn -31.6,,50.75,
OK,,g153,401859184,2,2026-09-12,Rice,Notre Dame,False,-14.488315,27.304185,3.2,2.6,44.3925,44.392500000000005,-7.105427357601002e-15,Notre Dame -44.4,Notre Dame -44.4,,52.0,
OK,,g156,401856676,2,2026-09-12,Charlotte,Ole Miss,False,-22.515815,18.556685,2.4,2.6,43.6725,43.67250000000001,-7.105427357601002e-15,Ole Miss -43.7,Ole Miss -43.7,,53.7,
OK,,g228,401858454,3,2026-09-19,Kent State,Ohio State,False,-19.920815,30.496685,3.0,2.6,53.0175,53.017500000000005,-7.105427357601002e-15,Ohio State -53,Ohio State -53,,50.4,
OK,,g235,401858456,3,2026-09-19,Buffalo,Penn State,False,-14.100815,15.419185,3.4,2.6,32.12,32.120000000000005,-7.105427357601002e-15,Penn State -32.1,Penn State -32.1,,48.0,
OK,,g295,401858238,4,2026-09-26,Central Michigan,Miami-FL,False,-12.708315,22.834185,1.7,2.6,38.1425,38.142500000000005,-7.105427357601002e-15,Miami-FL -38.1,Miami-FL -38.1,,47.55,
OK,,g18,401858204,1,2026-09-03,Akron,Wake Forest,False,-17.863315,3.041685,3.0,2.6,23.505,23.505000000000003,-3.552713678800501e-15,Wake Forest -23.5,Wake Forest -23.5,Wake Forest -22.5,44.9,49.5
OK,,g57,401858428,1,2026-09-05,Western Michigan,Michigan,False,-6.103315,17.504185,2.9,2.6,26.2075,26.207500000000003,-3.552713678800501e-15,Michigan -26.2,Michigan -26.2,Michigan -25.5,46.9,46.5
OK,,g60,401856662,1,2026-09-05,UL-Monroe,Mississippi State,False,-20.260815,5.199185,2.6,2.6,28.06,28.060000000000002,-3.552713678800501e-15,Mississippi State -28.1,Mississippi State -28.1,Mississippi State -28.5,54.5,56.5
