pulled_at,source,source_url,item_title,item_url,raw_text,content_hash,relevance_score,keyword_hits,row_type
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Skip to content,https://www.cfbdepth.com/latest-injury-status/#content,Skip to content,5e76cd98c3d0fb641f3fbd98fd06aa2cb27e440a8e2daa1fce076f99bdf1d24d,3,"injury,status,depth",
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,CFB Depth,https://www.cfbdepth.com/,CFB Depth,a4620651fc67df7f17282f18dd9baf0f90c05e2a5251922ad9d358af4ad5d28e,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Primary Menu,javascript:void(0),Primary Menu,a68bf58aff260ed133ca43b999821fdb4d3ee59bda1b9f10122097b394429de6,0,,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Depth Charts,https://www.cfbdepth.com/depth-charts/,Depth Charts,e76a164c6c6396bef7a54deefbd93820273b9e86b783a950dcd76db2ada76c91,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,SEC,https://www.cfbdepth.com/category/news/,SEC,4152841a1534157f3963b4d1174f13ae72fb55122c0bf77184403fe48fb55043,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Alabama,https://www.cfbdepth.com/alabama/,Alabama,edfd0816a2f45fd75acd95343a5d77a23e16ec1cfec49566a795cd7f136c40cc,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Arkansas,https://www.cfbdepth.com/arkansas/,Arkansas,eb0749f096da5953341c895c87ff7e015e63a462db942b40b13bf11900dde686,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Auburn,https://www.cfbdepth.com/auburn/,Auburn,589fb8d9fbb52b89778c4d7347e55199c6a57af5669ea3f0bf8514d0daaf0704,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Florida,https://www.cfbdepth.com/florida/,Florida,9ba247714f835f0c1010d7377df373a4ba237bb150501bd244b74bc310347569,1,depth,
2026-06-20T15:33:08.301261+00:00,CFBDepth Latest Injury Status,https://www.cfbdepth.com/latest-injury-status/,Georgia,https://www.cfbdepth.com/uga/,Georgia,62ee220124dcbd4e706d97caa3741dd445e57ed33b3deddff4015537eb2d651e,1,depth,
